,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
20,0,7,8.1,22.9,0.0,1.8,9.6,5,19.0,8,4,2.0,9.0,58.0,48.0,1027.4,1023.8,1.0,1.0,14.3,21.6,0,0
22,2,38,6.1,17.2,0.0,3.0,8.1,13,69.0,14,13,19.0,33.0,55.0,37.0,1020.0,1016.9,7.0,1.0,10.5,16.3,0,0
23,1,15,6.4,13.7,0.4,3.6,2.5,7,44.0,6,7,24.0,28.0,59.0,52.0,1016.7,1016.6,,,11.4,13.1,0,0
24,1,39,26.1,32.0,0.0,10.0,11.6,5,37.0,6,3,20.0,24.0,54.0,48.0,1011.9,1009.0,3.0,2.0,30.3,30.8,0,0
25,0,42,26.9,41.6,0.0,13.6,11.2,1,63.0,4,1,19.0,20.0,26.0,11.0,1012.6,1009.7,1.0,2.0,32.9,40.6,0,0
26,0,39,24.8,31.9,1.4,6.4,4.8,6,39.0,6,3,2.0,19.0,77.0,69.0,1008.0,1005.4,7.0,7.0,28.8,29.9,1,0
27,2,43,9.4,19.2,1.0,,,7,22.0,14,10,6.0,7.0,88.0,75.0,1026.1,1025.0,,,15.1,17.6,0,0
28,1,13,17.8,29.7,0.0,7.6,11.5,9,50.0,9,10,30.0,19.0,22.0,10.0,1017.4,1012.7,0.0,0.0,20.1,28.3,0,0
29,0,4,4.4,30.6,0.0,,,7,50.0,3,14,9.0,28.0,42.0,14.0,1019.8,1015.8,,,19.6,30.1,0,0
30,1,10,8.7,25.7,0.0,5.8,,3,30.0,5,3,19.0,17.0,21.0,9.0,1023.5,1018.5,0.0,0.0,17.8,25.0,0,0
31,0,46,12.1,18.5,12.8,,,13,37.0,7,7,9.0,17.0,80.0,53.0,1006.7,1006.5,,,15.0,17.6,1,0
32,2,31,12.5,24.0,0.2,8.2,12.0,12,43.0,9,11,11.0,20.0,55.0,41.0,1019.0,1016.8,2.0,1.0,19.1,22.1,0,0
33,0,45,10.3,18.2,0.0,8.4,4.5,11,78.0,12,11,31.0,50.0,51.0,51.0,1016.4,1018.3,7.0,5.0,13.5,16.6,0,1
34,2,16,25.0,40.2,0.0,8.0,,0,35.0,14,2,17.0,15.0,56.0,,1012.0,1005.8,3.0,,31.4,,0,0
35,2,12,10.0,16.8,0.8,,,13,30.0,13,12,6.0,19.0,90.0,74.0,1021.5,1021.4,,,12.2,16.0,0,0
36,2,15,8.5,18.8,0.0,3.6,10.8,9,30.0,6,9,13.0,17.0,66.0,43.0,1020.4,1017.0,5.0,1.0,12.3,18.6,0,0
37,2,11,22.1,23.6,0.0,,,11,61.0,12,12,31.0,24.0,77.0,92.0,1020.1,1019.7,8.0,8.0,22.9,22.0,0,1
38,2,43,11.9,18.0,0.6,,,9,41.0,9,9,20.0,20.0,92.0,77.0,1016.7,1015.9,,,15.7,16.7,0,0
39,1,32,1.5,16.0,12.2,0.4,8.8,9,26.0,10,10,7.0,15.0,91.0,45.0,1028.5,1028.6,1.0,3.0,7.2,15.4,1,0
40,2,4,14.4,25.9,1.4,,,0,24.0,12,2,7.0,11.0,88.0,63.0,1021.9,1019.5,,,19.1,23.8,1,0
41,2,9,2.2,11.2,5.6,,,8,37.0,10,10,17.0,15.0,70.0,57.0,1020.6,1019.7,,8.0,7.4,10.2,1,0
43,0,20,14.1,20.4,3.2,10.0,8.9,11,33.0,11,11,13.0,19.0,94.0,45.0,1019.6,1020.0,7.0,5.0,14.4,18.9,1,0
44,2,9,9.1,20.4,0.0,,,16,,10,4,13.0,13.0,61.0,41.0,1026.8,1024.8,,5.0,15.1,19.5,0,0
45,0,40,17.0,19.5,5.0,,,7,35.0,3,6,9.0,11.0,79.0,79.0,1010.4,1011.3,,,19.3,16.3,1,1
46,2,43,12.8,21.7,0.0,,,7,31.0,6,7,6.0,17.0,76.0,64.0,1022.8,1021.1,,,17.4,20.4,0,1
47,0,37,14.7,20.0,15.6,1.6,2.5,16,,8,8,19.0,20.0,93.0,80.0,1021.3,1018.6,7.0,7.0,16.8,19.3,1,1
48,0,0,9.0,18.4,0.0,5.0,6.2,12,37.0,10,12,15.0,19.0,44.0,38.0,1027.2,1026.2,,,13.3,17.6,0,0
49,0,9,3.9,29.1,0.0,7.2,,16,,16,16,,,54.0,17.0,,,,,14.7,28.0,0,0
50,1,45,15.1,34.7,0.0,6.8,9.3,3,37.0,6,4,11.0,13.0,57.0,29.0,1010.3,1004.8,5.0,4.0,23.2,33.6,0,0
51,0,5,6.3,11.0,0.0,,,8,35.0,8,8,24.0,22.0,82.0,70.0,1028.3,1026.6,6.0,8.0,8.4,10.1,0,0
52,1,33,13.4,18.3,2.8,1.8,3.6,13,54.0,12,15,11.0,20.0,74.0,59.0,1015.0,1016.2,8.0,8.0,13.8,16.1,1,0
53,2,21,8.3,23.9,0.0,3.6,,12,28.0,10,12,13.0,13.0,67.0,40.0,1021.7,1017.9,1.0,1.0,16.0,22.8,0,0
54,0,42,4.3,12.4,0.2,2.2,6.9,13,43.0,14,13,9.0,26.0,85.0,56.0,1019.5,1018.3,7.0,3.0,7.1,12.2,0,0
55,0,32,7.3,22.0,0.0,2.6,9.7,1,41.0,1,5,22.0,19.0,55.0,47.0,1015.0,1010.9,0.0,4.0,13.4,21.7,0,0
56,2,30,8.3,29.1,0.0,,,13,39.0,9,3,2.0,9.0,63.0,25.0,,,,,15.4,27.1,0,0
57,0,47,16.1,31.6,48.4,,,7,91.0,3,13,22.0,30.0,84.0,30.0,994.0,990.7,,,22.5,31.2,1,0
58,2,6,7.9,31.4,0.0,,,3,44.0,3,7,7.0,26.0,42.0,12.0,1030.3,1022.9,,,18.7,31.1,0,0
59,1,28,3.2,20.8,0.0,6.8,12.4,15,37.0,12,13,20.0,17.0,52.0,33.0,1024.7,1022.4,6.0,3.0,12.7,19.9,0,0
60,1,33,9.1,17.2,0.0,6.4,10.9,13,30.0,15,12,11.0,15.0,75.0,71.0,1022.4,1021.4,8.0,7.0,14.2,15.8,0,0
61,1,21,17.2,31.8,0.0,,,4,37.0,1,3,20.0,11.0,67.0,33.0,1017.9,1014.7,,,22.4,30.7,0,0
62,0,1,12.2,22.6,5.8,2.4,9.0,16,,5,2,7.0,24.0,84.0,76.0,1010.6,1006.6,6.0,1.0,15.5,21.0,1,1
63,1,38,19.5,29.3,21.4,11.0,6.9,12,41.0,7,1,20.0,26.0,62.0,41.0,1008.3,1005.4,7.0,5.0,24.2,28.1,1,0
64,0,12,9.8,14.0,2.6,3.2,2.7,14,50.0,6,6,15.0,17.0,95.0,89.0,1010.5,1008.5,,,12.5,11.9,1,1
65,0,43,8.4,13.8,0.0,,,11,28.0,11,11,6.0,13.0,76.0,76.0,1027.0,1026.4,,,12.3,12.1,0,0
66,0,17,10.7,17.5,0.8,6.0,,6,39.0,6,3,13.0,24.0,93.0,63.0,1005.4,1002.8,,,12.6,16.3,0,0
67,1,36,10.9,29.1,0.0,,,8,39.0,7,8,6.0,17.0,44.0,47.0,,,,,22.7,22.2,0,1
68,2,29,9.3,17.8,3.4,,7.9,15,69.0,1,11,4.0,17.0,70.0,55.0,1022.4,1023.6,5.0,5.0,13.1,16.8,1,0
69,0,48,12.8,25.9,0.0,6.4,10.6,8,31.0,9,11,13.0,15.0,52.0,26.0,1019.8,1017.7,1.0,0.0,17.7,25.2,0,0
70,0,12,4.5,12.8,0.2,2.4,0.1,3,50.0,5,5,26.0,20.0,71.0,82.0,1018.7,1012.9,,,11.3,11.5,0,1
71,0,45,14.5,20.8,3.4,3.4,1.7,9,26.0,11,9,13.0,15.0,97.0,65.0,1024.7,1023.2,7.0,6.0,16.6,20.3,1,0
72,0,17,3.1,12.3,0.1,,,10,31.0,9,10,11.0,13.0,80.0,55.0,1031.6,1028.8,,,6.3,11.6,0,0
73,0,7,8.1,22.9,0.0,2.0,9.8,13,30.0,13,14,15.0,19.0,41.0,30.0,1018.8,1015.0,0.0,0.0,16.2,22.4,0,0
74,0,20,14.8,36.4,0.0,18.4,12.8,14,41.0,8,14,13.0,15.0,41.0,24.0,1008.3,1003.8,0.0,0.0,19.7,33.3,0,0
75,1,14,15.4,22.8,1.0,,,7,50.0,7,14,15.0,28.0,75.0,41.0,1006.9,1003.5,,,18.4,22.2,0,0
76,1,19,3.4,17.9,0.2,1.2,7.1,5,56.0,6,3,7.0,30.0,71.0,46.0,1029.3,1025.8,7.0,6.0,10.2,17.2,0,0
77,1,12,8.0,13.7,22.4,1.6,2.9,12,37.0,3,13,7.0,20.0,100.0,75.0,1013.5,1012.7,,,9.5,12.2,1,1
78,2,0,19.0,35.4,0.0,,,16,,5,14,7.0,15.0,40.0,22.0,1011.5,1008.0,,,26.2,33.5,0,0
79,0,29,8.9,28.0,0.0,,12.4,12,37.0,11,12,9.0,28.0,58.0,36.0,1019.6,1017.4,0.0,0.0,18.6,26.1,0,0
80,1,14,22.7,29.6,0.0,,,5,48.0,5,5,15.0,39.0,63.0,64.0,1012.8,1008.9,,,27.7,27.8,0,0
81,1,40,10.4,23.1,5.4,,,10,46.0,8,10,19.0,15.0,52.0,36.0,1016.2,1015.4,,,12.9,21.9,1,0
82,2,37,8.8,15.5,54.6,2.6,0.0,11,56.0,11,8,24.0,17.0,82.0,85.0,1020.2,1019.6,8.0,8.0,13.3,14.2,1,1
83,2,2,11.7,28.5,0.0,,,3,28.0,16,6,0.0,13.0,70.0,32.0,1022.9,1018.9,8.0,2.0,15.7,27.4,0,0
85,2,2,10.0,27.1,0.4,,,5,22.0,2,2,7.0,11.0,74.0,44.0,1025.0,1021.8,,1.0,16.7,26.4,0,0
86,1,1,16.5,21.8,0.0,6.8,6.9,16,,12,12,6.0,15.0,89.0,74.0,1018.9,1016.9,7.0,1.0,17.5,20.4,0,0
87,1,19,12.7,23.8,0.2,4.2,12.2,9,54.0,9,9,15.0,33.0,64.0,34.0,1022.0,1020.9,1.0,1.0,16.3,22.6,0,0
88,1,14,19.8,28.5,0.0,,,5,35.0,5,5,11.0,30.0,60.0,67.0,1018.1,1015.1,,,27.8,26.6,0,0
89,2,39,19.7,26.1,0.0,6.6,3.7,1,33.0,9,1,19.0,24.0,63.0,56.0,1019.2,1016.0,7.0,6.0,22.5,25.7,0,0
90,2,35,13.3,27.1,0.0,,,13,43.0,15,1,13.0,19.0,62.0,48.0,1016.1,1016.7,,,19.7,26.0,0,0
91,0,0,19.0,26.9,2.2,5.4,9.3,15,26.0,11,12,11.0,11.0,88.0,58.0,1020.0,1019.2,,,20.8,25.1,1,0
92,0,46,,16.7,5.2,,,13,44.0,13,14,20.0,15.0,69.0,64.0,1021.0,1020.4,,,15.5,14.8,1,0
93,2,8,24.7,32.6,0.0,8.4,10.8,1,33.0,9,4,11.0,20.0,69.0,60.0,1013.0,1010.4,4.0,2.0,28.9,31.3,0,1
94,2,20,14.9,41.3,0.0,12.6,12.0,14,48.0,6,15,4.0,26.0,19.0,8.0,1013.0,1010.7,0.0,,29.5,40.0,0,0
95,1,48,8.6,15.8,0.4,2.0,4.8,11,31.0,15,8,7.0,17.0,96.0,63.0,1023.9,1022.4,3.0,8.0,10.6,15.3,0,0
96,0,19,10.6,19.9,0.0,4.8,5.9,8,52.0,13,8,15.0,20.0,62.0,62.0,1012.4,1011.2,7.0,4.0,15.9,18.3,0,0
97,1,22,11.3,13.7,0.8,0.2,0.0,6,22.0,3,6,7.0,9.0,99.0,93.0,1020.0,1018.7,8.0,8.0,11.7,13.4,0,0
98,0,42,6.8,16.6,1.2,2.4,1.8,4,41.0,0,5,7.0,9.0,78.0,58.0,1015.4,1007.0,7.0,7.0,10.0,15.4,1,1
99,0,4,14.4,36.7,0.0,,,11,30.0,4,0,6.0,15.0,65.0,32.0,1010.9,1008.1,,,23.4,34.8,0,0
100,2,1,16.5,23.0,0.0,8.2,,16,,1,16,19.0,,55.0,,1016.0,1013.3,1.0,,22.5,,0,0
101,0,12,5.0,14.3,1.2,1.0,6.4,9,30.0,10,10,6.0,13.0,96.0,73.0,1025.0,1023.1,,,9.6,12.9,1,0
102,2,39,17.1,26.0,0.0,,,2,41.0,11,9,20.0,20.0,57.0,53.0,1022.9,1019.6,8.0,5.0,20.7,24.7,0,0
103,1,27,19.7,22.6,34.4,5.6,0.0,9,37.0,9,9,9.0,26.0,93.0,96.0,1014.1,1013.9,7.0,8.0,21.4,20.0,1,1
104,0,48,9.6,28.8,0.0,5.6,10.2,6,39.0,0,6,7.0,24.0,45.0,15.0,1018.0,1014.5,1.0,0.0,16.0,28.1,0,0
105,1,2,10.8,29.0,0.0,,,3,30.0,9,4,9.0,11.0,76.0,43.0,1023.9,1018.7,2.0,,17.0,27.4,0,0
106,0,37,19.1,23.7,0.4,6.8,4.7,10,50.0,8,8,24.0,24.0,69.0,64.0,1010.0,1010.7,,,20.1,21.3,0,0
107,2,21,8.2,24.8,0.0,,,0,30.0,0,1,20.0,13.0,53.0,33.0,1025.0,1020.9,,,16.8,23.7,0,0
108,0,39,23.1,29.1,78.4,3.2,0.0,5,81.0,0,4,35.0,39.0,84.0,93.0,1004.1,999.8,8.0,8.0,26.6,26.5,1,1
109,0,7,20.7,28.2,3.2,8.0,8.1,1,30.0,2,1,15.0,15.0,60.0,61.0,1013.0,1011.4,7.0,3.0,25.3,26.5,1,0
110,2,0,13.3,17.5,2.6,,,12,63.0,12,12,20.0,26.0,44.0,43.0,1019.0,1020.2,,,15.4,16.0,1,0
111,0,12,19.3,40.7,0.0,11.4,11.5,14,96.0,3,13,26.0,52.0,40.0,52.0,1008.5,1003.9,,,31.0,28.4,0,1
112,0,23,4.7,18.5,0.8,,,3,28.0,11,6,9.0,9.0,68.0,57.0,,,,,10.7,17.8,0,0
113,0,46,17.3,19.0,3.4,,,8,48.0,8,10,19.0,22.0,96.0,80.0,1011.3,1013.6,,,17.8,16.9,1,0
114,0,17,11.0,16.9,4.4,,,6,54.0,7,6,9.0,22.0,93.0,62.0,1003.5,1000.4,,,14.5,16.3,1,1
115,2,41,10.8,23.1,0.0,,,1,44.0,0,0,31.0,22.0,34.0,23.0,1025.3,1021.2,8.0,2.0,15.6,22.8,0,0
116,1,35,11.4,20.7,0.0,4.8,3.7,13,52.0,13,12,20.0,20.0,73.0,85.0,1016.3,1016.6,8.0,8.0,16.2,16.0,0,0
117,1,32,6.4,17.8,14.6,0.6,7.2,12,65.0,12,13,28.0,22.0,70.0,40.0,1012.7,1014.0,4.0,2.0,14.3,17.7,1,1
118,2,12,10.0,27.1,0.0,7.6,13.6,2,43.0,9,9,24.0,22.0,78.0,37.0,1020.7,1019.5,,,16.5,25.3,0,0
119,0,20,19.9,29.4,0.0,7.8,9.9,14,30.0,15,14,6.0,17.0,95.0,44.0,1017.9,1016.0,7.0,7.0,20.5,27.4,0,0
120,0,44,10.0,14.9,0.0,1.6,2.1,12,30.0,11,11,15.0,13.0,73.0,59.0,1027.2,1025.0,7.0,7.0,10.6,13.8,0,0
121,1,29,15.3,31.4,0.0,,11.0,7,48.0,8,15,9.0,33.0,55.0,41.0,1006.2,1005.7,0.0,1.0,24.6,29.7,0,0
122,2,12,7.5,13.6,2.0,1.0,2.1,7,20.0,7,12,7.0,2.0,,,1026.8,1025.3,,,9.3,13.4,1,0
123,0,17,10.2,24.2,0.0,,,3,11.0,0,6,4.0,7.0,82.0,49.0,1027.5,1025.2,,,14.8,23.4,0,0
124,2,35,17.0,28.0,0.0,,,9,31.0,10,2,2.0,20.0,83.0,61.0,1021.1,1018.6,8.0,,19.7,26.0,0,0
125,1,24,19.8,28.2,0.0,,,16,,16,9,0.0,11.0,77.0,58.0,,,7.0,8.0,22.5,26.0,0,0
126,2,23,-3.0,-0.8,0.0,,,14,57.0,14,14,20.0,24.0,98.0,98.0,,,,,-2.8,-2.9,0,1
127,1,38,17.1,37.8,0.0,10.0,10.0,8,80.0,7,13,17.0,35.0,12.0,3.0,1009.2,1002.9,7.0,1.0,28.0,37.2,0,0
128,1,33,3.9,13.8,0.0,1.4,7.2,7,39.0,6,14,19.0,24.0,63.0,69.0,1032.4,1030.4,5.0,8.0,8.3,13.1,0,1
129,2,21,10.9,27.9,0.0,7.8,10.7,9,37.0,9,10,20.0,15.0,45.0,29.0,1027.4,1023.2,1.0,2.0,21.0,26.9,0,0
130,0,29,15.9,30.5,0.0,,6.4,12,37.0,13,15,9.0,28.0,69.0,39.0,1015.9,1014.0,5.0,7.0,22.5,28.6,0,0
131,1,47,19.2,23.5,10.4,,,11,39.0,9,2,19.0,20.0,90.0,78.0,1018.5,1017.7,8.0,7.0,21.1,22.4,1,0
132,1,15,10.2,20.1,0.0,4.4,7.0,6,80.0,3,7,26.0,43.0,55.0,33.0,996.2,995.6,6.0,3.0,17.0,18.3,0,0
133,0,6,10.0,16.0,53.8,,,15,44.0,12,15,22.0,22.0,87.0,70.0,1008.5,1012.7,6.0,8.0,11.4,13.8,1,1
134,1,37,11.8,19.9,5.0,2.4,3.9,13,31.0,14,13,17.0,19.0,89.0,53.0,1012.1,1009.2,8.0,2.0,14.3,19.2,1,0
135,2,5,-0.3,13.7,0.0,,,6,35.0,3,14,15.0,24.0,100.0,74.0,1029.9,1026.4,,7.0,6.9,13.0,0,0
136,2,6,1.9,12.0,0.2,,,4,26.0,0,4,7.0,13.0,93.0,87.0,1022.5,1016.8,5.0,8.0,5.6,10.3,0,1
137,0,31,11.3,20.3,0.0,2.8,3.7,15,30.0,4,14,6.0,4.0,88.0,90.0,1015.6,1013.4,7.0,7.0,14.8,15.3,0,1
138,0,14,21.1,28.9,55.0,,,9,46.0,2,9,28.0,31.0,77.0,61.0,1019.1,1017.6,,,26.0,28.1,1,1
139,2,2,1.4,15.1,0.0,,,0,13.0,10,0,4.0,7.0,89.0,65.0,1026.7,1023.5,2.0,5.0,6.0,14.4,0,0
140,0,7,19.0,28.0,0.0,6.6,11.0,4,28.0,5,5,7.0,11.0,71.0,55.0,1016.9,1015.0,5.0,4.0,24.6,25.7,0,0
141,2,23,8.5,22.6,0.0,,,7,33.0,5,7,11.0,11.0,51.0,52.0,,,,,16.0,20.4,0,0
142,1,30,9.0,17.8,0.2,,,12,30.0,11,6,15.0,4.0,54.0,35.0,,,,,11.8,17.4,0,0
143,2,40,-3.1,12.5,0.0,,,6,20.0,16,3,0.0,9.0,83.0,48.0,1027.5,1024.8,,,3.7,12.0,0,0
144,2,37,10.0,20.6,0.0,6.4,8.7,15,28.0,14,4,17.0,17.0,48.0,47.0,1018.9,1016.0,7.0,7.0,15.1,18.5,0,0
145,0,19,11.4,21.6,15.0,2.4,11.9,13,57.0,15,13,20.0,33.0,69.0,35.0,1013.9,1013.7,6.0,6.0,14.1,19.9,1,0
146,1,4,16.5,21.3,0.2,,,8,31.0,11,8,7.0,11.0,86.0,78.0,1022.4,1022.4,,,17.3,18.2,0,0
147,0,3,18.3,30.1,4.0,7.8,8.2,15,28.0,0,0,13.0,11.0,71.0,44.0,1009.7,1007.5,8.0,5.0,22.6,29.4,1,0
148,1,39,20.5,29.8,0.0,5.0,10.9,1,33.0,15,4,6.0,26.0,66.0,64.0,1015.1,1010.9,1.0,3.0,25.8,28.1,0,0
149,1,4,5.0,30.6,0.0,,,5,24.0,3,1,4.0,7.0,61.0,22.0,1026.2,1019.8,,,17.7,28.7,0,0
150,1,38,10.4,25.1,0.0,3.8,9.1,4,48.0,7,5,13.0,28.0,52.0,44.0,1015.2,1010.0,6.0,6.0,16.2,22.4,0,0
151,0,10,26.1,33.1,0.0,12.0,2.9,14,57.0,14,14,22.0,17.0,42.0,51.0,1006.1,1008.2,8.0,7.0,28.6,27.4,0,0
152,2,44,7.6,24.0,0.2,6.0,8.4,3,57.0,4,5,15.0,26.0,55.0,39.0,1014.7,1010.1,6.0,6.0,16.3,21.9,0,0
153,1,12,9.6,18.4,0.0,2.2,6.2,11,30.0,16,0,0.0,4.0,82.0,61.0,1025.9,1024.1,,,12.0,17.0,0,0
154,1,26,20.4,24.4,0.0,,,5,43.0,1,4,24.0,26.0,80.0,81.0,1019.2,1013.9,,,21.4,23.1,0,0
155,2,40,12.7,30.2,0.0,,,2,43.0,13,15,2.0,9.0,74.0,66.0,1019.5,1017.2,,,19.0,21.6,0,1
156,0,20,14.1,17.4,0.0,7.8,1.4,4,33.0,16,5,0.0,22.0,80.0,88.0,1015.6,1012.9,8.0,8.0,14.6,14.3,0,1
157,1,30,20.6,26.2,0.2,,,9,31.0,9,8,11.0,15.0,68.0,80.0,,,,,22.7,20.3,0,0
158,2,28,7.2,29.0,0.0,4.4,10.9,4,31.0,4,6,11.0,9.0,51.0,18.0,1017.1,1014.9,1.0,2.0,17.8,27.5,0,0
159,1,42,14.3,33.1,0.0,9.6,10.6,1,37.0,1,3,20.0,15.0,50.0,20.0,1012.1,1007.2,5.0,5.0,20.2,31.6,0,0
160,2,32,9.1,23.1,0.0,1.4,7.7,11,28.0,3,8,13.0,9.0,86.0,57.0,1027.8,1025.3,5.0,7.0,14.7,22.9,0,0
161,0,37,5.5,14.7,0.0,4.0,4.0,16,,13,11,22.0,19.0,67.0,61.0,1031.5,1029.6,6.0,6.0,7.0,14.1,0,1
162,0,13,22.1,33.0,0.0,7.6,10.9,3,37.0,10,6,11.0,28.0,60.0,52.0,1014.6,1009.8,3.0,4.0,28.2,31.4,0,0
163,2,8,20.0,28.0,0.0,5.4,,9,54.0,10,9,20.0,31.0,75.0,57.0,1017.8,1014.9,,3.0,24.5,27.3,0,1
164,2,40,0.4,16.5,0.0,,,1,20.0,1,4,6.0,7.0,77.0,47.0,1031.2,1028.1,,,9.7,15.9,0,0
165,2,29,19.3,38.1,0.0,,12.3,9,43.0,9,2,24.0,19.0,43.0,25.0,1011.7,1008.8,,1.0,28.5,37.3,0,0
166,1,21,3.2,20.8,0.0,3.4,10.0,12,26.0,16,12,0.0,15.0,75.0,29.0,1026.8,1023.4,0.0,0.0,12.1,20.7,0,0
167,1,39,21.2,30.5,0.0,9.8,8.5,1,41.0,2,1,26.0,31.0,59.0,63.0,1015.6,1012.6,7.0,6.0,27.7,28.1,0,0
168,1,21,5.4,18.7,0.0,2.4,10.7,11,52.0,11,11,31.0,28.0,56.0,18.0,1022.1,1019.9,1.0,,11.3,18.0,0,0
169,2,15,4.1,15.8,4.6,2.0,2.6,14,80.0,6,14,22.0,26.0,63.0,57.0,1001.8,997.8,5.0,7.0,13.3,15.2,1,0
170,1,21,22.6,27.9,6.8,6.2,2.2,7,39.0,3,0,13.0,13.0,95.0,92.0,1006.2,1004.7,7.0,7.0,23.6,25.0,1,1
171,2,20,9.7,20.7,0.0,,6.3,11,26.0,8,12,13.0,13.0,85.0,54.0,1017.7,1013.0,,5.0,13.0,20.3,0,0
172,2,24,20.9,29.0,0.0,,,16,,4,16,28.0,,75.0,,,,8.0,,22.9,,0,0
173,1,17,13.9,24.3,0.0,,,6,43.0,3,13,11.0,22.0,75.0,38.0,1008.2,1005.4,,,17.8,23.2,0,0
174,0,14,18.6,26.1,4.0,,,10,39.0,8,10,19.0,17.0,71.0,67.0,1022.2,1019.9,,,24.0,25.1,1,1
175,2,30,7.8,20.2,0.0,,,14,9.0,16,14,0.0,4.0,98.0,46.0,,,,,9.8,19.7,0,0
176,0,20,7.2,16.1,0.0,1.2,1.7,3,35.0,5,5,20.0,22.0,87.0,65.0,1019.2,1015.5,7.0,7.0,9.8,15.9,0,0
177,0,38,13.1,22.6,0.8,3.2,9.7,4,30.0,7,5,9.0,22.0,78.0,60.0,1028.2,1023.2,3.0,3.0,16.6,20.8,0,0
178,2,19,12.9,25.0,0.0,5.0,10.8,13,41.0,13,14,17.0,11.0,68.0,37.0,1015.6,1012.0,1.0,1.0,15.8,22.8,0,0
179,1,21,5.9,22.4,0.0,2.8,10.0,0,26.0,2,12,15.0,13.0,66.0,35.0,1027.2,1025.4,1.0,1.0,14.2,21.9,0,0
180,2,43,9.6,12.9,11.4,,,15,50.0,14,13,19.0,13.0,98.0,91.0,1008.4,1009.3,,,10.0,7.2,1,1
181,2,45,7.4,19.8,,,,7,20.0,7,10,17.0,13.0,89.0,69.0,1028.4,1025.4,8.0,1.0,11.0,18.1,2,1
182,0,37,9.1,15.5,4.2,3.4,3.9,16,,13,11,24.0,20.0,60.0,77.0,1024.3,1023.0,2.0,7.0,10.6,14.3,1,0
183,1,14,17.3,28.2,0.0,,,5,30.0,7,4,13.0,24.0,64.0,54.0,1017.5,1013.7,,,23.3,26.3,0,0
